夜别陆长倩得青字（明末清初·唐汝询）　　七言绝句　押青韵	怅别高楼酒易醒，坐闻落叶满沙汀。春来倘忆同游地，无限垂杨梦里青。
折杨柳（明末清初·唐汝询）　　七言绝句　押删韵	昔攀垂柳唱《阳关》，柳复垂丝君未还。惟有杨花易飘荡，随风吹得到阴山。
白翁老公祖请告归淄青岁暮凄其离怀充斥漫赋绝句言别（明末清初·唐汝询）　　七言绝句　押冬韵	桂香飘处谒司农，践豆相邀意更浓。不□□旌难久驻，阳关歌即在玄冬。
