并蒂莲（清·许禧身）　　七言律诗　押阳韵	平明信步绕芳塘，傍柳随堤过曲廊。湖比鸳鸯还共泛，亭开荷芰自相庄。出尘不染双心洁，并影同看佳兴长。我本爱花花对语，频将佳兆祝祯祥。
忆江南（清·许禧身）	儿时忆，结伴戏中庭。自埽落花惊粉蝶，还抛梅子打黄莺。雨洒竹梢青。
忆江南（清·许禧身）	儿时忆，纨扇乍秋凉。喜与雏鬟掏蟋蟀，爱同小友捉迷藏。花底月昏黄。
忆江南（清·许禧身）	儿时忆，瓜果设云屏。青玉案前同乞巧，水晶帘下共穿针。脉脉拜双星。
忆江南（清·许禧身）	儿时忆，春日永慈闱。每作娇痴依母膝，偶思问字揽儿衣。色笑总无违。
忆江南（清·许禧身）	儿时忆，傍屋画桥横。两岸垂杨千缕碧，一湾流水片帆轻。花发近清明。
忆江南（清·许禧身）	儿时忆，琐事不关心。姊妹闺中同刺绣，弟兄书屋共联吟。灯火夜沈沈。
忆江南（清·许禧身）	儿时忆，风景爱清华。度曲不妨惊睡鹤，敲棋那管落灯花。窗外月光斜。
忆江南（清·许禧身）	儿时忆，爆竹换年光。春酒筵开同献寿，椒花酿就共飞觞。舞彩奉萱堂。
忆江南（清·许禧身）	儿时忆，春暖报花开。剪就彩旂黏树杪，散将佳种傍亭台。处处手亲栽。
忆江南（清·许禧身）	儿时忆，佳节已端阳。折得榴花簪短鬓，采来蒲艾缚匡床。函夏日方长。
忆江南（清·许禧身）	儿时忆，姑嫂学挑丝。每绣鸳鸯藏叶底，常描蛱蝶恋花枝。帘卷夕阳时。
忆江南（清·许禧身）	儿时忆，韵事属香闺。丹桂庭中初擪笛，碧梧院落听调丝。忘却月痕迟①。
忆江南·咏西湖（清·许禧身）	江南忆，最忆圣湖庄。一色波光飞白鹭，数湾流水宿鸳鸯。西岭已斜阳。
忆江南（清·许禧身）	江南忆，最忆是孤山。几树红梅和月澹，数丛翠竹入云閒。暮色水光寒。
忆江南（清·许禧身）	江南忆，最忆是湖亭。四面红栏花印月，一池碧水露涵萍。钟韵静中听。
忆江南（清·许禧身）	江南忆，最忆是山庄。觅得小舟游曲径，登将高阁俯芳塘。花木绕长廊。
忆江南·咏淮园（清·许禧身）	名园好，最好是回廊。一带朱藤盘曲折，两行桂树吐芬芳。风送笛声扬。
忆江南（清·许禧身）	名园好，最好是波光。俯视池鱼吹细浪，仰观飞鸟带斜阳。阵阵送荷香。
忆江南（清·许禧身）	名园好，最爱夜来时。花色满园风弄竹，波光小艇月催诗。遥听漏迟迟。
