捣练子 夏夜闻箫（清·俞浚）	荷露冷，竹风凉。小扇轻罗坐石床。何处凤箫吹不断，夜深明月转回廊。
江城子 江梅九月小院盛开，词以纪之（清·俞浚）	小园秋老绽芳梅。暖风催。数枝开。徙倚红楼，明月暗香来。玉笛漫吹帘半捲，疏影里，独徘徊。
清平乐 邻女出游，堕钗而返，戏赠（清·俞浚）	年华浪掷，早又梨花白。闲坐绮窗情脉脉。约伴同过绣陌。枝头黄鸟喈喈。相扶踏遍花街。小玉嬉游不惯，忙中掉下金钗。
雨中花 灯下观牡丹（清·俞浚）	国色无双妖冶。欢赏正逢新夏。绛蜡高烧，锦帏低捲，一片红光射。凭槛月来妆未卸。浑似玉环初嫁。看影弄瑶台，歌翻翠袖，醉倚沉香夜。
瑞鹧鸪 咏红树（清·俞浚）	露冷江皋万木秋。一林霜叶映南楼。遥疑螮蝀天边落，近似珊瑚海上浮。贴水波平风日淡，隔山烟净火云流。年年此际深宫里，可有题诗托御沟。
蝶恋花 寄怀，慕韩江右（清·俞浚）	一带苍烟笼远树。望里斜阳，隔断天涯路。帘捲画楼双燕舞。寒潮乍落春帆渡。柳谢花残江景暮。数点归鸦，叫过山头去。人又不来音又阻。柔情万缕和谁诉。
风流子 依韵答慕韩（清·俞浚）	汝年才弱冠，怎挨得、如此冷生涯。想潘岳善愁，霜侵旅鬓，谢安高卧，月照庭罳。问今日、几人怜白雪，谁个重乌衣。合浦明珠，终能遇主，荆山美璞，定必逢时。从来英豪也，多穷困此际，再自沉思。待看名题雁塔，志遂鹏飞。笑纷纭世态，真同幻影，寂寥词客，喜独扬眉。且守青毡旧业，莫负天知。
