读阴二所寄诗（清·罗兆甡）　　七言绝句　押庚韵	孤影无情难一语，残镫余焰暖三更。新诗读罢出门望，今夕梦从何处行。
麻柳湾（清·罗兆甡）　　七言绝句　押支韵	宛是当年载酒时，一湾春水映疏篱。山花莫讶人非昔，且属东风爱惜吹。
铜雀台（清·罗兆甡）	漳河曲曲泻平沙，魏武移浇铜雀花。儿女销尽英雄骨，遗言逆望望陵哭。生作疑冢七十余，知尔西陵何处居。毕生辛苦为谁忙，欢娱极处尽悲凉。龙泉欲吼飞光绝，不到今时已断肠。
