鹭江客邸（清·王汉秋）　　七言绝句　押寒韵	人世无如出路难，旅情参透客心寒。欲除烦恼除欣羡，万事皆宜作反观①。
题客邸壁（清·王汉秋）　　七言绝句　押侵韵	未能为雨与为霖，旷览山河感不禁。细缀蒲帆修桧楫，舵工也有济川心①。
闻警（清·王汉秋）　　七言绝句　押豪韵	鹿耳门前吼怒涛，奇愁郁勃索香醪。记曾风雨苍凉夜，灯影摇红读豹韬①。
过铁砧山（清·王汉秋）　　七言绝句　押删韵	绿阴浓处隐孱颜①，石咽泉流路几湾。肮脏②一身经百鍊，今朝又到铁砧山③。
稻江纪别（清·王汉秋）　　七言绝句　押萧韵	小楼烟雨晚江潮，带得离愁上画桡。折柳泥君留爪迹，重来好认旧枝条①。
