题兰竹石画卷（清·恽耐寒）　　七言绝句　押萧韵	石径青云矗碧霄，孤芳常伴影萧萧。若能待得春庭月，好约梅花过板桥。
马嵬（清·恽耐寒）　　七言绝句　押删韵	血染红颜竟不还，荒坟何处土花斑。将军跋扈无人说，只把风流怨玉环。
古意二首（清·恽耐寒）	惜别多涕泪，那辨妾与郎。洒向合欢花，今年蒂作双。
