咏蝉（清·朱受新）　　五言绝句　押侵韵	抱叶隐深林，乘时嘒嘒吟。如何忘远举，饮露已清心。
独处怨（清·朱受新）　　七言绝句　押冬韵	月中自顾娉婷影，镜里谁怜憔悴容。永夜制衣金剪冷，秋风万里度卢龙。
流萤词（清·朱受新）　　七言绝句　押东韵	暗飞几点隔帘栊，影乱繁星度远空。莫入班姬金阁里，恐随团扇落秋风。
吴官词（清·朱受新）　　七言绝句　押灰韵	夜拥笙歌百尽台，太湖月落宴还开。君王自爱倾城色，却忘人从敌国来。
春莺曲（清·朱受新）　　七言绝句　押阳韵	千门春静落红香，宛转莺声隐绿杨。任尔楼头啼晓雨，美人梦已到渔阳。
明河曲（清·朱受新）　　七言绝句　押先韵	清秋泻影画楼前，一水盈盈耿碧天。若果此中风浪静，女牛何事别经年？
白秋海棠（清·朱受新）　　七言绝句　押阳韵	清秋湛露浥琼芳，素影风摇玉砌旁。夜静看花人独立，水晶帘外月如霜。
