谴鹊（清·浦映绿）　　七言绝句　押微韵	片片花飞点绣帏，强拈裙带试腰围。欺人最是檐前鹊，说道当归又不归。
呼婢（清·浦映绿）　　七言绝句　押麻韵	银瓶斜插海棠花，春色朦胧护绛纱。烟袅兽炉香欲烬，隔帘鹦鹉唤琵琶。
牡丹亭（清·浦映绿）　　七言绝句　押阳韵	情生情死亦寻常，最是无端杜丽娘。亏杀临川点缀好，阿翁古怪婿荒唐。
