闻𧑗母（清·邹汉勋）　　七言绝句　押支韵	却与黄鹂相唱和，小餐花露在前枝。微之不读医家语，春日闻蝉再赋诗。
浩叹（清·邹汉勋）	后夔不复起，希声委涂泥。中间有作者，抱独无由知。靡靡世所好，师延乃出奇。子野琴何在，何不撞头为。清商与浊徵，正声犹曰宜。沐猴而冠佩，流传亦至斯。始知玉石故杂糅，不可矫矫求异时。作诗但令老妪识，典诰大语勿相师。
古意（清·邹汉勋）　　押纸韵	欲穷千仞冈，请从今日起。千仞多风寒，况复无仰止。便息行游驾，盘桓在斯里。斯里狭且隘，似难容足阯。不容举世诮，即容致衰鄙。甘负举世诮，愿抱湛然理。
寻梅用东坡松风亭下梅花盛开原韵（清·邹汉勋）　　押元韵	冰肌玉骨江上村，暗香馥馥引吟魂。却怪寒乡风信晚，二月如伴参横昏。清姿皎皎雪辉壁，素质亭亭月满园。但欲尘埃难比并，那知冷冽非春温。等闲桃李作妖艳，游蜂舞蝶弄朝暾。崇晨不语工摇曳，何异息女愁荆门。羡尔孤䡮真绝世，师雄毕竟是浮言。岂有天上玉妃子，肯泛人间潋滟尊。
次韵李子木见赠（清·邹汉勋）	力学瘉废学，蓁芜廿年外。尔来始识字，渐欲穷綮会。丹铅勤记录，所乐斯为最。傥或称述作，无乃夜郎大。古经义多微，钩沈意非汰。裒然成两书，沽贱等苫盖。乃劳频借读，赠言缛文贝。愚材果何当，讵关时显晦。知是滑稽语，但了篇章债。夫子论文章，故自绝流辈。指顾掩群雅，逸翮鸣翙翙。顾我已类狗，画虎惭黠狯。
