送陈姨归新安（清·任玉卮）　　五言绝句	伤子远别离，辞亲日初晓。后会知何时，泪滴荆溪草。
敬题先严双栖图（清·任玉卮）　　七言绝句　押冬韵	图就严亲清健容，薇花夜月两溶溶。应怜母氏留长恨，故遣丹青觅旧踪。
蝶恋花（清·任玉卮）	春雨催花知几许。尽日溟濛，洒遍江头树。才喜春来春又暮。一年好景成孤度。满目飞花兼落絮。却趁东风，冉冉随春去。只有梁间双燕语。声声还在侬家住。
