雨后看花（清·葛远）　　五言绝句　押祃韵	一夜雨淋漓，花开几枝亚。嫣然色更娇，未逐东风谢。
寒食（清·葛远）　　七言绝句　押庚韵	山村初听杜鹃声，日暖风和一晌晴。寒食有诗春意足，不闻天子召韩翃。
垂钓（清·葛远）　　七言绝句　押寒韵	林塘一曲偶凭栏，试问清阴把钓竿。瞥见浮个下深碧，鱼游萍底不知寒。
制椒枕寄外（清·葛远）　　七言绝句　押佳韵	孤镫静坐巧安排，锦字回文花样佳。一握椒聊寄珍重，此中芬馥是侬怀。
春晴（清·葛远）　　五言排律　押庚韵	小阁帘高卷，时还鹊噪晴。春花争灿烂，池水最澄清。燕啄香泥暖，蜂驮翠絮轻。倚窗收绣谱，扫几设棋枰。听野农歌接，看山画本成。分题诗未就，催卷有新莺。
家大人命咏见志勉呈（清·葛远）	几人代父走征鞍，远戍远城胜克汗。一骑明驼辞火伴，木兰犹是女儿还。
送六陔弟之黔（清·葛远）	年少初为客，焉知行路难。黔山二千里，湘水万重澜。且听骊歌悄，翻怜雁影单。家书宜早付，长铗莫轻弹。志大须鹏展，枝栖愿莺安。前途殷御李，名士喜瞻韩。笔札从容出，诗书蕴藉看。寓公防落魄，游子恐孤寒。堂上缝衣密，闺中织锦宽。得如青眼愿，毋遣白头叹。恋栈犹凡马，抟空要健翰。田园未荒芜，知倦及时还。
