送别（清·宋乐）　　五言绝句　押先韵	别路风光早，江南芳草天。人心似春色，千里逐君船。
潇湘曲（清·宋乐）　　五言绝句　押歌韵	枫落早鸿过，洞庭无限波。相望终不见，只是白云多。
答扬州乔子（清·宋乐）　　七言绝句　押覃韵	病馀缠缚似春蚕，诗酒风情亦尚堪。日落离心满扬子，知君江北望江南。
苏台柳枝词（清·宋乐）　　七言绝句　押尤韵	十里珠帘映碧流，丝丝金线拂船头。阊门过去盘门路，一树垂杨一画楼。
