读德风亭集（清·金孝维）　　七言绝句　押庚韵	宏才茂学兼多艺，闺阁应传绝代名。若使斯人今尚在，不辞苍鬓拜先生。
集近水楼居分韵得鹊字（清·金孝维）　　押药韵	居閒客过稀，门巷喧晴鹊。幽人共相访，不负前期约。命婢煮新茗，呼童整清酌。论文输封胡，礼法饶钟郝。谈笑杂琴书，善戏不为虐。佳会忘夜阑，从教凉月落。
六旬初度书怀（清·金孝维）　　押陌韵	日月不可驻，疾如驹过隙。我年甲已周，老境苦催迫。视听虽未衰，鬓发欲垂白。感慨对生辰，长歌忆畴昔。自我奉箕帚，家事多屯厄。绸缪御岁寒，屏当供宾客。午夜共㸐膏，咿吾閒刀尺。君时课两弟，辛苦朝复夕。诗律戒平庸，文章慎凡格。安贫少阋墙，乐道忘交谪。献赋走长安，春风徒点额。归来卧茅屋，遣闷惟琴弈。檐花几度红，庭草几回碧。壮志惜未施，年华欲虚掷。一朝运重开，昆季俱通籍。粉署与冰垣，声名夸奕奕。所居虽各巷，来往无閒隔。秋月和春花，赏心联绮席。知止遽怀归，更卜城西宅。优游岁月长，逸兴寄泉石。鸿案喜双清，鹿门愿初适。鸰原忽抱恸，悲感日增积。卧病动经年，参苓两无益。今春幸渐瘥，瘦比经霜柏。有酒且同斟，养生在夷怿。卅年忧与乐，回首皆陈迹。达观任所之，人寿讵能百。
