湖中（清·顾若璞）　　七言绝句　押微韵	湖光渺渺冷烟微，江鹜沙凫伫不飞。恰欲抱琴轻别去，芰荷分绿上罗衣。
感怀（清·顾若璞）　　七言绝句　押尤韵	不堪愁病强搔头，二十三年感百忧。却也不知方寸内，如何容得许多愁。
秋日为两儿修读书船泊断桥作（清·顾若璞）　　押先韵	闻道和熊阿母贤，翻来选胜断桥边。亭亭古树流疏月，漾漾轻袅泛碧烟。且自独居扬子宅，任他遥指米家船。高风还忆浮梅槛，短烛长吟理旧毡。
和夫子西溪落梅（清·顾若璞）	逦迤入西溪，溪深深几曲。断岸挂鱼罾，茅檐覆修竹。翠羽何啁啾，满林香扑簌。晴雪飞残英，坐爱倾蚁绿。鹿门迹未湮，与子同归宿。
捣衣篇（清·顾若璞）	自惜盈盈十五馀，不施粉黛叹幽居。忽惊流浪双头鲤，带得交河一纸书。读书宛转愁不息，征人正在天山北。天山高插碍星流，漫驾红鸾过十洲。君挂雕弓控轻骑，妾闻胡雁怨高楼。满眼风光转眼歇，昨夜红颜换白发。捣衣声断咽霜风，掩袖啼多惨秋月。秋月孤帏漏正长，香奁宝箧耀华堂。鸣珰四面鸳鸯结，罗帐团回锦绣香。鸣珰罗帐芙蓉锦，华烛兰膏明未寝。解将珠镜光如刀，留待君来照鸳枕。饮尽金罍不见君，湘帘怨卧烟氤氲。羽书犹欲征边塞，愿逐巫山一片云。
江上缫丝曲（清·顾若璞）	桃花花繁杨柳垂，纤腰嫩脸香风吹。莺儿调声声正滑，堂上丝车鸣轧轧。少年骑马挟金弹，青幂朱舷纷夹岸。缫丝终日不忍看，寒螀早晚啼秋幔。
浣溪沙（清·顾若璞）	嫩柳牵丝覆绮窗。起来无绪理明珰。恼人最是日初长。三尺乌云随意挽，两条却月待萧郎。胡琴闲放竹方床。
浣溪沙（清·顾若璞）	绿水红莲一带妍。荷衣欲剪惜金钱。可怜鸂鶒不同眠。纨扇看来心已碎，迎凉盼不到秋天。算来又怕说秋天。
长相思 春词（清·顾若璞）	梅子青。豆子青。飞絮飘飘扑短襟。风褰罗袖轻。送芳辰。惜芳辰。春事支离些个情。眉峰恨几层。
长相（见《林下词选》、《众香词》）思（清·顾若璞）	春先到。愁先到。嫩莺故对新丛叫。懒把云和抱。愁先到。春先到。花轻蝶乱东风袅。捻却花相照。
减字木兰花 月夜闻沈媚清夫人吹箫（清·顾若璞）	雨收风细。一片清光疑是洗。秦女楼头。吹出柔肠几许愁。花枝掩映。素腕金环频弄影。香软寒轻。寂寂帘帏夜不扃。
玉楼春 晚春，三桥看月（清·顾若璞）	花飞锦带春波起。残月流辉明水底。万珠灼烁照新妆，故掬嫦娥纤手里。柳线牵烟轻重绿。渔灯高下鸳鸯宿。无情花柳送归春，不管离人肠断续。
忆王孙 织女怨（清·顾若璞）	年年云锦织天孙。银汉无情劳梦魂。乌鹊声声隔岸闻。怨黄昏。烟锁琼楼月到门。
忆秦娥（清·顾若璞）	晓莺呕。懒梳云鬓上秦楼。上秦楼。一帘春色，惹起新愁。杨花飘荡弄轻柔。残红零落倩谁收。倩谁收。乌盐歌罢，倦倚箜篌。
暮雨（清·顾若璞）　　押先韵	涧草依依浮玉，堤杨拂拂迷烟。江上蒲帆欲没，村中桑女争还。
自君之出矣（清·顾若璞）	自君之出矣，不理钗头玉。思君湘水深，啼痕犹在竹。
