谢秋娘 送春（清·黄淑贞）	春去也，似驾白驹行。欲系风光杨柳线，最怜关切杜鹃声。天地亦多情。
谢秋娘（清·黄淑贞）	春去也，绿树唤斑鸠。唤出桑间村妇摘，唤回陌上丽人游。飞絮扑楼头。
阮郎归 九日示外（清·黄淑贞）	深秋云淡画难工。茱萸今又逢。劝君且莫上高峰。须防落帽风。橙已绿，叶初红。乡关景不同。塞鸿呖呖语长空。还添四壁蛩。
