题沈归愚万峰独立图（清·魏荔彤）　　七言绝句　押删韵	峰峰卓立断跻攀，筇屐逍遥鸟道间。试问此翁登眺后，何人更上万重山？
马陵道（清·魏荔彤）　　七言绝句　押庚韵	战垒千秋沙草平，更无残戟碍春耕。荒城夜半喧雷雨，还似当年万弩声①。
述怀（清·魏荔彤）　　押遇韵	白月挂屋角，霜风落晚圃。索居愧无营，行吟玩岁暮。哀笛发清商，空堂寒欲雨。萧萧四壁来，秋声在檐树。彭殇理齐观，百年总朝露。行乐及芳时，丹砂古贻误。
