辛未礼闱后张孝达制军与潘文勤公大公名士于龙树院治觞选客手札七通夏闰枝编修装册徵题（清·王鹏运）　　七言绝句　押阳韵	槐龙突兀老秋霜，犹护当时选佛场。二十七年谈旧事，依稀墨沈姓名香。
扫花游  丰台菊花零落同槐卢粹父泥饮丛祠倚此索和（清·王鹏运）	弯环十八，是丹凤城西，卖花村路。旧游忆否。又苍烟偷换，秾春歌舞。好约来迟，一片秋声在树。自凝伫。叹著意访秋，秋转无据。酾酒重吊古。记往日词人，醉香深坞。远山翠缕，尚依稀认得，那人眉妩。倦倚西风，误却红牙旧谱。唤归去。听丛祠暮天钟鼓。
摸鱼子  瑟轩前辈阅近作拜新月词，有句云：钓竿百尺缀珊瑚，不羡麒麟阁上图。欲取鳌鱼斫作脍，问君何处觅沽屠。盖檃括词中语也，倚此奉答（清·王鹏运）	镇无聊、一尊相属。罪言君试听取。管城食肉都无相，妄意凤脩麟脯。君且住。问鲭合侯家，胜得齑盐否。书空自语。叹臣朔常饥，将军负腹，奇气向谁吐。麟阁上，往事不堪细数。算来图画难据。高平博陆皆人杰，属国尔来何许。休起舞。便燕颔、权奇无觅封侯处。歌予和汝。纵掣得金鳌，凫髦未扫，莫慰此情苦。
满庭芳  篝灯夜坐，忽闻清歌，坠欢枨触，渺兮馀怀也（清·王鹏运）　　押尤韵	风露高寒，蛩螀怨抑，夜阑人倚灯篝。暗尘惊落，何处发清讴。已是潘郎老去，青衫在、鬓减花羞。十年恨，无端枨触，肠断旧风流。风流弹指处，画中人远，梦里春柔。料记曲当时，红豆还留。倩取窥帘淡月，悲欢事、一例全句。霜华重，丁丁漏水，银箭咽潜虬。
秋宵吟  雾雨酿寒，秋光向尽，和鹤公（清·王鹏运）	冷云低，败叶委。又到秋光婪尾。东园畔、记醉绿酬红，饯春曾几。思缠绵，意旖旎。撩乱愁丝难理。西风悄、又雾雨冥迷，酿寒如此。赖有黄花，共晚节、傲霜未已。故人书断，海客谈空，何物能令公喜。安得沧江里。一叶淩波，深入万苇。溯空明、弄笛船唇，歌阕明月正在水。
金缕曲（清·王鹏运）	寂寞閒门闭。又天涯、岁华如此，旅怀孤寄。姹燕娇莺前日事，依旧空阶络纬。更著甚，管弦清脆。薜荔丛深猿狖啸，料灵均、应恨歌山鬼。还禁得，几憔悴。海山烟树苍茫里。自成连、刺船归后，果移情未。白眼看天星与月，但见楼台弹指。问高处、阑干谁倚。漫遣钿筝移玉柱，铸相思、枉负黄金泪。听嘹亮，雁声起。
青山湿遍（清·王鹏运）　　押阳韵	中秋近也，年时枨触，双笑行觞。记得木樨香里，倚青奁、特换明妆。更喁喁、吉语祝兰房。愿年年、花好人同健，醉花阴、不羡鸳鸯。谁信皋桥赁庑，飘零天壤王郎。任是他生能卜，也难禁得，此际神伤。二十三年断梦，霜侵鬓、谁念无肠。看依然、儿女拜成行。只不堪、衰草残阳外，酹棠梨、泪血沾裳。明月无端弓势，宵来空照流黄。
临江仙  己丑除夕（清·王鹏运）	爆竹声中催改岁，年年此夕殊乡。天涯兄弟各相望。几时归去，谈笑醉春觞。已是向平昏嫁了，名山愿好谁偿。休从镜听卜行藏。春花秋月，流转任风光。
太常引（清·王鹏运）	画阑秋气与云平。病起怯衣轻。吟思底凄清。听依约蛩声雁声。宁馨老子，十围便腹，空洞尽容卿。青眼几时横。看山色新来瘦生。
卜算子（清·王鹏运）	盼到月轮圆，夜夜期三五。谁信清光欲满时，偏被纤云妒。七十二鸳鸯，交颈花閒住。谁信成双作对飞，剩遣孤鸾舞。
长亭怨慢  寒夜饮水芝支馆用壁上龙壁山人词韵索省旃和（清·王鹏运）	漫商略、愁长宵短。满目风尘，素襟谁浣。岁晚冰霜，中年丝竹、意何限。愿花长好，争信我、风怀减。许事不须知，看月与、清尊俱满。依黯。认酒痕犹是，早是酒人星散。清寒对影，漫赢得、笑人兰畹。尽依依、照座银荷，也羞对、年时心眼。倩帘幕横枝，长笛夜寒相伴。
采桑子（清·王鹏运）	阑干录曲閒凝伫，日影东廊，月影西廊，一霎寒温值底忙。小园贮得春多少，花要生香，叶要生香，那禁东风柳絮狂。
