黄河五堤咏·遥堤（清·李衍孙）　　押纸韵	凭处亘地轴，蜿蜒宁计里。何处鱼鳞屋，陡觉鳌背起，愿巩千百年，黄流不到此①。
黄河五堤咏·缕堤（清·李衍孙）　　押职韵	黄河易停沙，恃此一束力。东注建瓴势，犀利划南北。敬告阳侯乡，勿谓太相逼①。
黄河五堤咏·夹堤（清·李衍孙）　　押霁韵	截流拟当关，扼要见控制。夹辅相与长，唇齿得其势。夭矫双游龙，攫爪入云际①。
黄河五堤咏·月堤（清·李衍孙）　　押愿韵	夹堤与缕堤，直趋无支蔓。有时善因依，一曲作铜堰。月蹙修眉长，浑睹湘妃怨①。
黄河五堤咏·格堤（清·李衍孙）　　押有韵	谁赍千金璧，怒蛟挟船走。奔䭿两堤间，疑听飓风吼。移来夸娥山，早塞瞿塘口①。
