暮春偶成（清·谢香塘）　　七言绝句　押微韵	踏青有约未应违，懒慢心情昼掩扉。燕子不来花又落，恼他杜宇唤春归。
小轩山茶一株春过半矣尚未盛开口占一绝（清·谢香塘）　　七言绝句　押庚韵	春光久已到山城，底事含葩态未呈。绝色由来难便嫁，催妆应是待诗成。
木兰（清·谢香塘）　　七言绝句　押庚韵	换得戎装事远征，别亲原自不胜情。销魂最是黄河水，隔断爷娘唤女声。
