画竹（清·谢颖苏）　　七言绝句　押庚韵	榕坛风月本双清，十笏山斋构竹成。添写筼筜千万个，夜深同此听秋声。
题菊（清·谢颖苏）　　七言绝句　押支韵	半生落拓①寄人篱，剩得秋心祇自知。莫道③管城花事淡②，笔头还有傲霜枝。
题画竹菊（清·谢颖苏）　　七言绝句　押东韵	爵觚盘敦①鼎彝钟，掩映清光竹一丛。种竹道人何处住，古田家在古防风。
芝城客感（清·谢颖苏）　　七言绝句　押阳韵	故园三径久荒凉，岁岁天涯滞客装。又是一年秋去也，黄花①山下过重阳。
