桃花二首（清·沈荣俊）　　七言绝句　押东韵	柳暗花城梦不通，谁家姊妹倚东风？凭伊几点清明雨，催出新妆试小红①。
枕上闻笛（清·沈荣俊）　　七言绝句　押庚韵	孤灯黯黯月明明，院冷楼寒梦不成。离恨已无肠可断，谁家犹送断肠声？
书怀（清·沈荣俊）　　押职韵	丈夫无雄雌，时运有通塞。一身隔青云，两手满荆棘。马周困长安，行路愁逼侧。卓见非常何，火色人谁识①？
