怨歌（清·髡残）　　五言绝句　押侵韵	春风吹绿草，草绿伤人心。残花落便落，琐碎沾衣襟。
重寓松涛庵（清·髡残）　　七言绝句　押先韵	荻花袅袅隔村烟，秋水柴门半暮天。何意我来重话旧，叶舟横渡雁声前。
古意（清·髡残）	瘗琴峨嵋巅，知音何寥寥！埋骨易水旁，侠士魂难招。物性不可违，岂必漆与胶。常恨士不遇，白首空萧骚。
