别唐君俞（明末清初·李清）　　七言绝句　押阳韵	别是人间催老物，穷为我辈绝交方。相思最苦长安月，不照离人夜半床。
题画寄邹公履（明末清初·李清）　　七言绝句　押庚韵	一带云山如梦里，片帆别处不分明。伤心只说寒塘柳，泣雨啼烟送我行。
虞山别受之短歌（有序）（明末清初·李清）	幽期不为春风殢，十里桃花千里泪。无计饥寒欲卖天，有时肮脏能翻地。交知半穷亦半老，呼鹰走马恨不蚤。是处离魂殉绿波，十年姓氏萎青草。越人病吟楚人泣，长歌歌罢谋长别。才子心花笔下生，旅人愁蕊灯头结。悲风噫云云化鬼，秬帘欲啮词人纸。青眼高歌能送予，眼中临川与吾子。
