荷叶杯 有所思（清·陈沅）	自笑愁多欢少。痴了。底事倩传杯。酒一巡时肠九回。推不开。推不开。
转应曲 送人南还（清·陈沅）	堤柳。堤柳。不系东行马首。空馀千缕秋霜。凝泪思君断肠。肠断。肠断。又听催归声唤。
丑奴儿令 梅花（清·陈沅）	满溪绿涨春将去，马踏星沙。雨打梨花。又有香风透碧纱。声声羌笛吹杨柳，月映官衙。懒赋梅花。帘里人儿学唤茶。
