秋夜（清·毛媞）　　七言绝句　押齐韵	漏永银河影渐低，楼头明月又沈西。五更展转不成寐，四壁虫声几样啼。
小春（清·毛媞）　　押侵韵	小春人更倦，坐觉微寒侵。衰草已失绿，红梅缀疏林。沈水焚欲尽，薄酒还自斟。筒内韬细笔，壁间静瑶琴。古人于此时，凝神以正襟。谁知深闺里，亦惕坚冰心。
雪（清·毛媞）	天涯一望茫茫白，积玉堆琼亘长陌。兴来何处子猷船，高卧谁家袁安宅。山中千树噪饥鸦，自扫冰鳞自煮茶。不怪满身寒起粟，只愁压折老梅花。
西湖（清·毛媞）　　押灰韵	十锦长塘十里开，遥看春草绿于苔。金鞍狭路争驰骤，画舫晴波自溯洄。日映柳梢莺百啭，风吹花气蝶双来。西湖西子曾相唤，拟酬芳魂酒一杯。
如梦令 春冷（清·毛媞）	耐过一番春冷。闪杀数枝花影。日日懒朝妆，闲却银床金井。烟凝。烟凝。柳外睡莺初醒。
丑奴儿令 春闺（清·毛媞）	不知春色今如许，乱杀啼莺。酥雨浓晴。芳草茸茸隔夜生。琐窗深处无人见，别是幽清。此际心情。翻怪桃花照眼明。
临江仙（清·毛媞）	一病凄然愁到骨，满园秋色萧条。枝枝败叶带烟飘。虫声吟转苦，为甚不辞劳。随意起来随意睡，西风削处如刀。梦魂飞过段家桥。茫茫云共水，西子或相招。
满江红 晓起（清·毛媞）	晓起梳头，尘满了、玉台明镜。试推窗，东风却比，西风还劲。乱树爱听黄鸟语，小园懒步红芳径。最堪怜、半好半残花，春如病。寒共暖，相为政。蜂与蝶，应争胜。只青青帝子，坐来端正。芳草也能迎淑气，丛兰别自成幽性。但小廊、一带曲阑干，闲堪凭。
