夏日村居杂感（清·蔡碧吟）　　七言绝句　押萧韵	榕阴叠叠竹萧萧，出水秧针绿意饶。几簇人声喧渡口，半江夕照卖鱼苗。
夏日村居杂感（清·蔡碧吟）	夹陇凉云刈麦天，沙堤凫母养儿眠。田家女子辛勤惯①，昼出锄禾夜纺绵。豢鸭童归又饭牛，菜花拗出短篱幽。数间老屋疏林外，门对一湾溪水流。西瓜凉沁齿牙馀，争说尝浆蜜不如。莱菔松烹菘菜煮，乡间风味胜城②居。
台阳竹枝词（清·蔡碧吟）	宜晴宜雨好时光，草粿糖浆制备忙。招①得东邻诸姊妹，踏青齐拜五妃娘。
台阳竹枝词（清·蔡碧吟）　　押元韵	珊瑚十里绿云屯，毗舍城南梦蝶园。日日花开春不老，华严东港好乾坤。
