留别舜华二姊（清·成坤）　　五言绝句　押真韵	生小离家国，天涯十六春。明朝挂帆去，又是异乡人。
秋夜（清·成坤）　　五言绝句　押庚韵	西风催木落，何处不秋声。我是无愁者，閒阶爱月明。
古意（清·成坤）　　五言绝句　押月韵	新月明如镜，镜复如明月。愿作明镜圆，莫作月常阙。
