春闺（清·李美）　　七言绝句　押盐韵	春寒料峭病恹恹，愁到眉峰两碧尖。妒煞呢喃双燕子，寻巢依旧入风帘。
题梁溪孙旭英峡猿集（清·李美）　　七言绝句　押尤韵	花落江城水乱流，绣馀一卷独悲秋。分明风雨嘉陵夜，肠断三声在岭头。
秋夕（清·李美）　　七言绝句　押庚韵	十二层楼夜月明，美人帘底坐吹笙。芙蓉露冷秋衣薄，翻到霓裳第几声。
怀清溪任夫人（清·李美）	杨柳澹春阴，池塘过疏雨。所思人不来，怅怅徒延伫。洞庭看落花，花落已如许。好鸟自嘤鸣，不解离情苦。
蝶恋花 得梅垞书（清·李美）	风定高楼笼月晕。秉烛殷勤，尺素从头认。豆蔻梢头清露润。丁香枝上游蜂稳。酒醒夜寒翻抱恨。未准归期，误了何须问。满目凄其人意闷。隔溪渔笛三声近。
