白荷花（清·王采蘋）　　七言绝句　押支韵	亭亭翠盖覆华池，独立谁怜绝世姿。一镜清波低照影，月明风静露凉时。
秋窗夜读（清·王采蘋）	斗室绝尘嚣，澹然清百虑。一卷读未终，暝色起庭树。焚膏用三馀，中馈毕群务。惜此良夜长，疏镫耿兰炷。明月静罗帷，流辉照简素。澄怀得微会，知新在温故。清幽庾信诗，绮丽相如赋。朗诵恍有神，流连得真趣。渐闻林鸟啼，疏帘透风露。
题婉紃从母师绿槐书屋诗稿（清·王采蘋）　　押阳韵	清才亚班女，家学绍中郎。一卷五言诗，玉振谐笙簧。思亲赋蒿莪，忆弟梦池塘。澄怀鉴明月，清节含冰霜。人事慨变迁，抚时多感伤。义心激苦调，幽意凄金商。洞庭秋水深，木叶飞潇湘。灵妃鼓瑶瑟，天地皆苍凉。潜蜦跃神渊，孤凤栖幽篁。空山悄无人，日暮秋兰香。茅屋埋穷闾，所思在沧浪。灵珠俨盈握，尘壒随风扬。少小侍宣文，纱幔授篇章。所愧性庸愚，学步终茫茫。十年困墙面，师资未敢忘。缅怀列国风，二《南》何洋洋。蔚为风教始，千载流芬芳。后世何陵夷，日下江河长。浮华失明性，俗变嗟靡常。何当播希声，薄海休风彰。古来移国俗，匹妇有札梁。仰止望高山，顾影心徬徨。
偕右星弟回楚晓发禹州却呈舅姑（清·王采蘋）　　押阳韵	朔风吹空林，月黑天茫茫。羁怀迫残岁，望远魂飞扬。吾弟蓟北来，促我戒归装。艰难成一官，萧瑟馀妖孛摇寒芒。州城常戒严，军政迫不遑。安能顾儿女，言归慰高堂。烽燧幸暂休，豫楚同丰穰。念我白发亲，倚闾久相望。命我赋归宁，慈恩浃肝肠。去住难为心，万绪俄低昂。女子古有行，善全竟无方。中宵不成寐，揽衣盼晨光。举室送我行，相看意徬徨。忆昔初来时，夭桃花正芳。今日得归去，寡鹄悲何长。三十鬓已丝，顾影怜清孀。沧桑多积感，人事纷难量。哀哉生别离，两地同参商。何当联骨肉，聚首共一堂。再拜恋庭帏，涕下沾衣裳。君姑执我手，丁宁话难忘。水陆千里馀，关津限河梁。征途值隆冬，木落飞严霜。古驿生骤寒，周道多虎狼。朝晚宜自慎，小别原寻常。闻之益悲怆，欲答不能详。挥手强出门，惝恍若有亡。倏忽已三舍，轮蹄去何忙。草枯蔽原野，落日征尘黄。钓台渺何处，凝睇空神伤。
种菜（清·王采蘋）	蔓草盈中庭，荒秽不遑理。晨兴课老妪，辟径携耒耜，蕴除绝其根，萌蘖庶可止。隙地颇有馀，众芳惜已萎。园蔬随意栽，御冬谋蓄旨。翠甲喜渐肥，黄芽美无比。霜严能耐冷，雨过净如洗。亦有岁寒心，青青常不改。地僻无珍羞，官贫少俸米。佐我菽水欢，足以充簠簋。朱门餍粱肉，沟壑多冻馁。山陕犹用兵，茌苻苦难已。空留诸葛名，莫有奇人起。浮生丧乱馀，一饱亦已矣。国计难与谋，世事何足齿。抚兹学圃心，贤者亦乐此。毋辞灌溉劳，抱瓮时汲水。聊当秋花看，一碧亦堪喜。骚客去已遥，凭谁艺兰芷。
述哀（清·王采蘋）	改火感桑柘，倏焉已再期。松楸望难极，响象茫难追。招魂峡江头，甘醴盈尊罍。援琴不成声，万绪纷如丝。同气三五人，慰我毋自悲。我悲讵能已，恻恻中肠摧。俯察逝水流，仰瞰孤云飞。年命亦靡常，泉台会相随。灵旗渺何处，烈烈飘风来。
