小秦王 柳浪闻莺（清·吴湘（婉罗））	香雾濛濛不肯收。丝丝垂柳绾春愁。玉骢也解游人意，却听莺声便欲留。
菩萨蛮 回文（清·吴湘（婉罗））	好花闻遍啼莺老。老莺啼遍闻花好。香暖透轻■，■轻透暖香。燕来春■■。■■春来燕。流■■■■，■■■■流。
菩萨蛮 咏（见《昭代词选》）菊（清·吴湘（婉罗））	寂寂空庭寒料峭。黄花开遍秋光老。朔雁正南飞。东篱剩数枝。玉人妆未竟。漫摘簪云鬓。菊已瘦霜痕。人还瘦几分。
菩萨（见《词雅》）蛮（清·吴湘（婉罗））	谁家玉笛声呜咽。小亭夜月增凄切。月又不分明。教人怎么听。更深人已尽。悄有灯和影。灯尽欲抛奴。谁怜影也无。
