雪里桃花二首（清·沈珂）　　七言绝句　押灰韵	本是瑶池天上种，无端轻薄被人猜。从今一洗千秋恨，也抱冰心傲雪开。
浪淘沙（清·沈珂）	帘捲百花香。柳线飘飏。莺梭燕剪往来忙。二十四番风信里，几许韶光。一咏一倾觞。酒涤诗肠。揉花斗草赛芬芳。流水落花飞絮舞，都是文章。
蝶恋花（清·沈珂）	花事阑珊春已暮。客里韶光，半在愁中度。深院黄昏人不语。无聊独把心香炷。啼鸟催归声故故。怅望云山，目断江南路。幽怨满怀凭若诉。罗襟泪落无重数。
虞美人 题《有约不来过夜半图》（清·沈珂）	凭栏怯怯纤腰娜。雾鬓云鬟亸。修眉淡扫远山痕。任是无言我见、也销魂。琐窗一剪灯花落。似有楸枰约。闲拈玉子意阑珊。只恐夜深不耐、五更寒。
天仙子 咏兰（清·沈珂）	绿窗春倦娇无力。云鬟低亸抛书立。素心人对素心花，频玩阅。料应说。侬心也是花心洁。
烛影摇红 题晏芳二姊遗照（清·沈珂）	慢展仙真，拈毫泪已如珠贯。不堪回首忆当年，朝夕常相伴。曾炷心香一瓣。凭蟾魄、诉从心愿。埙篪同和，盟约来生，竟成诗谶。不道缘悭，今生如此他生远。伤心最是北堂萱，几见双眉展。入世昙花真幻。更何心、再飞柔翰。窗前往日，画里而今，九回肠断。
卜算子 秋暮（清·沈珂）	秋色已堪伤，何况秋将去。窗外秋虫断续吟，似欲留秋住。惊梦恼秋声，欹枕听秋雨。一寸愁心冷若秋，一唱悲秋句。
如梦令 仲夏渐暑，有以纨扇乞画梅，即题扇后（清·沈珂）	玉笛江城频奏。又是熟梅时候。扇底墨花开，似有暗香盈袖。知否。知否。挥去春风如旧。
雨中花（清·沈珂）	风雨连宵窗外骤。也不管、绿肥红瘦。飞絮帘栊，落花庭院，都是销魂候。细吮梅花心暗构。倩冰纨、将春留逗。写出孤标，摹成没骨，春色还依旧。
金缕曲 次韵，和湘江吟社探梅词（清·沈珂）	遥指罗浮坞。却依稀、烟笼雨润，杏林桃渡。闻道江南风讯早，花著窗前几树。是红豆星星初吐。破冻含娇将蜡送，岁寒心、不改冰霜度。酬白雪，阳春赋。板桥驴背寻诗去。忆当年、孤山旧梦，从头记取。茅舍竹篱甘寂寞，不耐人间徵羽。寄相思、魂销驿路。试问几生修得到，结兰因絮果癯仙侣。卿怜我，侬怜汝。
