十六字令（清·黄琬璚）	醒。听得檐前溜雨声。才惊梦，欲记不能真。
闲中好（清·黄琬璚）	闲中好，深夜对银釭。琴语松风细，罗衣生嫩凉。
南歌子 夜雨二首（清·黄琬璚）	琴润音初涩，香寒篆易消。凉夜雨潇潇。窗前清可听，没芭蕉。
南歌子（清·黄琬璚）	柳暗蝉声静，花深蝶梦酣。碧天如水月光寒。更有何人同倚、玉阑干。
梦江南（清·黄琬璚）	闲阶悄，更转漏声阑。瑞脑香销金鸭冷，阑干倚遍静无言。同倚玉阑干。
捣练子 落叶二首（清·黄琬璚）	飘上下，落西东。霜林树树不禁风。一叶先惊秋信到，教人长是恨梧桐。
捣练子（清·黄琬璚）	银蜡烬，宝香凝。梦转纱窗坐晓晴。门掩梨花深院静，流莺时送两三声。
忆江南（清·黄琬璚）	闲庭悄，小步晚凉生。雨过桐阴天欲霁，偶来花下听流莺。入耳便关情。
忆江南 元日（清·黄琬璚）	天渐晓，帘外听啼鹃。红溅梅花楼外雨，碧笼杨柳陌头烟。春色又今年。
忆江南 咏梳（清·黄琬璚）	修琢巧，犀象并檀槽。掠遍香丝珂响细，飏凭纤手月痕高。红浸半规潮。
桂殿秋（清·黄琬璚）	莺睍睆，燕呢喃。声声有意闹春天。窗前唤起闺人梦，断句吟成只自怜。
调笑令 送春（清·黄琬璚）	春去。春去。无计可留春住。飞来飞去晴霞。千树万树落花。花落。花落。天涯数声残角。
调笑令（清·黄琬璚）	啼鸟。啼鸟。催得碧窗侵晓。枕边香汗微红。噩梦惊来起慵。慵起。慵起。又是暮春天气。
甘州子（清·黄琬璚）	乍寒乍暖暮春天。梅豆小，麦花妍。风梳碧柳一村连。远岫抹晴烟。残照外、啼鸟和流泉。
如梦令（清·黄琬璚）	一带晴山如沐。十里浓花似簇。鸡犬静无声，幽绝水通茅屋。摇绿。摇绿。门外数竿修竹。
如梦令（清·黄琬璚）	晓向高楼凝望。远树枝枝红酿。睡起眼朦胧，道是芙蓉初放。霜降。霜降。那是丹枫江上。
江城子 秋花（清·黄琬璚）	秋花锦簇画堂空。露浓浓。影重重。阑干九曲、红袖倚人慵。轻暖轻寒帘不卷，云淡淡，月濛濛。
杨柳枝（清·黄琬璚）	寂寞闲阶夜悄时。漏迟迟。传秋一叶井梧知。雨如丝。残梦阑珊人倚醉。钗斜缀。香销瑞脑冷金猊。画帘垂。
浣溪沙 初秋（清·黄琬璚）	露井高桐落叶疏。黄花消息雁来初。夜凉风透碧纱橱。几曲红栏人倚倦，湘帘窣地妥真珠。龙涎香烬博山炉。
好事近 长春花（清·黄琬璚）	移傍玉阑栽，几簇花开秋晓。雨润胭脂匀染，点枝头红小。嫣然锦烂镜中妆，朱颜四时好。不断繁英如许，算春光难老。
