梁溪秋泛（清·秦臻）　　七言绝句　押歌韵	疏疏水柳蘸轻波，新霁江村晒短蓑。红蓼花稀蘋叶老，寒塘犹唱《采菱歌》。
虞山记游（清·秦臻）	空香来微茫，鸟语不知处。偶随磬韵寻，梅花落无数。薄薄花生烟，滴滴花含露。道心相与淡，无言独自悟。快意登层楼，遥看海山暮。云烟法席开，日月禅龛护。山僧颇不俗，与花同寒素。一心忏佛缘，勿令风号怒。留此峰头雪，好索幽人句。
约茗龙缝泉用山谷谢黄司业寄惠山泉韵（清·秦臻）	偶持矞云小苍璧，相约试泉不用书。山骨清裂暗脉动，乳水决窦生露珠。我心久枯舌不腴，活火乍发蟹眼如。煎成一瓯竞先饮，撑肠五岳浇为湖。
