夏夜（清·尤澹仙）　　五言绝句　押送韵	玩月憩池塘，独把瑶琴弄。清风漾荷珠，打破鸳鸯梦。
梦母（清·尤澹仙）　　七言绝句　押微韵	肠断慈亲却早违，伶仃弱质痛何依。那堪梦里相逢处，犹道儿寒合著衣。
田家杂兴同蕙孙沈姊作（清·尤澹仙）	微雨溪上来，斜阳澹茅屋。平原一以眺，良苗霭如沐。鸠鸣杏花红，村暗榆阴绿。野老善识时，相勉还相祝。膏润贵及时，秋稔已可卜。
春夜喜山人送梅（清·尤澹仙）	寒林漠漠春无影，款扉有客来铜井。折得梅花远寄将，一枝犹带溪云冷。我亦罗浮谪下仙，相逢此夕岂徒然。狂呼明月伴我饮，世人那识三婵娟。
点绛唇 春晚，和陆素窗姊韵（清·尤澹仙）	昼静帘垂，落花满地莺无语。乱愁如许。不共春归去。伫望天涯，一带云连树。人何处。相思难诉。分付风前絮。
青玉案 寄呈心斋先生（清·尤澹仙）	新凉夜散梧桐树。高阁卷帘凝伫。人隔蒹葭谁共语。风前短笛，柳梢残月，尽是牵愁处。浮云富贵何堪数。转瞬韶华不如故。去去仙源寻旧路。青衫云鬓，红裙泪眼，总被多情误。
