过梁溪（清·徐洪钧）　　七言绝句　押江韵	东风作意送归艭，舟子吴歌尽短腔。一枕梦回天已曙，九龙峰影落篷窗。
和昌黎秋怀诗（清·徐洪钧）　　押梗韵	万灵均有知，露零鹤自警。修士多感秋，日短志弥永。学道已苦迟，精进讵嫌猛。寻源有深浅，修短视我绠。耳目净浮华，宁谧差可幸。会心正非遥，顿使烦虑屏。
书怀（清·徐洪钧）　　押遇韵	读书贵神解，无事守章句。混茫万古心，每于故纸寓。忆昔就傅时，端受卤莽误。年来发深省，颇领此中趣。中夜每独坐，睒睒灯火聚。到眼初茫然，思力未能赴。朗吟一再过，旨趣或流露。回环三夏馀，延缘得津路。此时万籁寂，炯炯一心注。若距且若迎，倏尔忽来悟。顿令千载人，精魄宛相遇。掩书起推窗，皎月挂高树。
