荷叶杯 晚寒（清·沈榛）	惊听春禽闹处。曙窗一枕梦黄梁。小楼寒透郁金床。凉么凉。凉么凉。
捣练子 客中（清·沈榛）	花破萼，柳垂丝。客梦惊回独语时。听彻子归肠欲断，故园频望数归期。
望江南 晚步（清·沈榛）	闲晚步，綦迹印苔深。蕉响疏风来别院，烟迷宿鸟语幽林。明月出花阴。
忆王孙 春暮（清·沈榛）　　押尤韵	繁红落尽绿阴稠。几度寻芳帆小舟。九十春光逐水流。点点杨花波面浮。
金字经 江上晚归（清·沈榛）　　押尤韵	云横迷远岫，波净趁轻鸥。江边傍晚一归舟。垂杨岸，蓼花洲。天欲暝，载月任遨游。
如梦令 秋闺（清·沈榛）	兔影纱窗移过。绿竹风敲声破。秋冷透罗衣，形影平分两个。孤坐。孤坐。玉漏清砧相和。
如梦令 春景（清·沈榛）	袅袅垂杨临水。庭下杏花开未。明月蓦移来，透破玉床鸳被。无寐。无寐。又被鸟声惊起。
长相思 春暮（清·沈榛）	云悠悠。水悠悠。花落青苔触目愁。悲怀倚画楼。蜂意休。蝶意休。寂寞风光却似秋。东君那可留。
昭君怨 春闺（清·沈榛）	春色今年偏早。窗外杏花开了。无语倚阑干。耐轻寒。可奈愁人时候。泪脸红如晕酒。午梦蓦然惊。恨啼莺。
点绛唇 旅思（清·沈榛）	孤馆清幽，一年又是春将半。野花矜艳。梅落随风片。好梦谁惊，黄鸟啼还断。纱窗畔。斜阳无限。愁见春光面。
浣溪沙 答平远翁送金桃作（清·沈榛）	露井夭桃尽落花。结成红实点丹砂。相贻珍重胜灵瓜。疑是瑶池王母种，柔荑试刨露金芽。东方三窃岂须夸。
浣溪沙 闺思（清·沈榛）	朵朵鲜花吹暮烟。飞香风送小池莲。隔林鸟语自绵绵。独倚画阑深结恨，每凭绣榻不成眠。无心相向镜台前。
菩萨蛮 越城晚眺（清·沈榛）	茫茫薄霭横如雨。高低夕照穿芳树。红蓼映清波。渔人挂网多。雪鸥堤畔起。几点孤舟里。明月忽飞来。悠扬画角催。
菩萨蛮 回文（清·沈榛）	白萍浮雪流波碧。碧波流雪浮萍白。春去忽惊人。人惊忽去春。雁飞高岫远。远岫高飞雁。楼上怯深愁。愁深怯上楼。
丑奴儿 题画（清·沈榛）	青山碧水无穷景，渔父垂钩。轻帆扁舟。烟雾苍茫远浦浮。轻云几点波中映，红蓼滩头。试起新篘。聊以衔杯忘却愁。
丑奴儿 春情（清·沈榛）	芳菲落尽春将暮，片片飞红。穿透帘栊。几度莺声向晓风。雕栏徒倚情无极，睡眼朦胧。暗锁眉峰。撩乱晴丝拂槛慵。
卜算子 秋夜（清·沈榛）	黄菊露中开，落叶阶前捲。忽听谁家玉笛声，断续随风远。灯影灿馀光，独坐愁难遣。试数楼头漏点深，月照花阴转。
巫山一段云 暑夕（清·沈榛）	微汗凝霞脸，轻风逗宝鬘。徐徐散步月弯环。时听竹珊珊。自觉罗衣厚，难将纨扇闲。榴花含露色斑斑。烟雾远迷山。
巫山一段云 美人（清·沈榛）	睡起云鬟乱，行来莲步娇。风前旖旎亸纤腰。腻脸晕红潮。欲舞垂罗袖，临妆整玉翘。踏青携伴摘兰苕。远望已魂销。
减字木兰花 杨花（清·沈榛）	芳踪何处。撩乱随风还怯雨。轻拂雕鞍。回首长亭带醉看。飘摇难住。落尽已知春色暮。几度妆台。帘捲虾须逐燕来。
