昙花图（清·吴王坦）　　七言绝句　押阳韵	摇曳珠幢翠带长，紫霞一片护花房。金莲乐树知无色，七宝阑中自在芳①。
题黄玉圃巡使台阳花果图绝句（清·吴王坦）　　七言绝句　押麻韵	少许猊床侍释迦，一家眷属见昙花。遥知使节风清候，携得金茎洒异葩①。
题黄玉圃巡使台阳花果图（清·吴王坦）	尔雅自姬公，蒐讨穷大块。后有山海经，所言同志怪。荒略何从稽，于说亦荑稗。乃知天地间，赋形各万派。若非域外游，直犹等聋聩①。巡方绣衣行，几及扶桑界。东溟凌沧波，惊涛历澎湃。既至振纪纲，问民轸病瘵。闻见往往殊，耳目为一快。其中植物繁，罗列登市卖。五色烂然陈，厥状难尽话。细文②如锦章，粗文如方罫。枝叶非寻常，异味皆可嘬。召工写此图，摹仿在公廨。碧绿与丹朱③，肖真事挥洒。称名复辨种，按之悉能解。我生里闬间，未得广行迈。多识惭古人，拘墟徒自絓。晴窗试展看，意旷若脱械。虚名玷使星，愿无远弗届（吴福助编校）。
