竹枝词 采莲（清·蒲映渌）　　押微韵	荷叶田田水满矶。荡舟惊湿女儿衣。阿侬今夜浑忘却，唤取西风送月归。
竹枝词（清·蒲映渌）	半溪柳色碧于烟。叶叶低枝绾钓船。歧路忽忘羞借问，且随蝴蝶过花前。
竹枝词（清·蒲映渌）	白绫半臂杏红衫。半里归来汗一担。输却鸳鸯无别事，醒同游戏梦同甘。
唐多令 云孙聘姬珊珊照属题（清·蒲映渌）	金钿翠云翘。罗裳束绛绡。绾乌鸦，斜舞蛮腰。欲抚素琴新记拍，空怅望，旧题桥。双颊晕红潮。黛眉纤月描。掩凌波，湘水轻摇。更有一番风韵处，凝媚眼，也魂销。
阳关引 江村夕望（清·蒲映渌）	四望寒烟结。黯淡秋容越。孤舟短棹，人来往，心凄切。念故乡生处，却是云山接。奈多愁，又隔云山第几折。水漾明霞影，乌啼彻。最关情事，天边雁，楼头月。只斜阳树树，与当年无别。试临风回首，空见江流咽。
解语花 题宝灯侍儿扫镜图（清·蒲映渌）	天然艳冶，生小娟娟，也解怜春意。画栏斜倚。双蛾皱，可是郑康成婢。偏松了髻。堪爱处、几般佳丽。拂牙笺，故送秋波，无限愁如缕。金鸭慢调香细。又烹茶洗砚，种种佳美。低鬟偷喜。销魂也，还抱琵琶花底。轻弹玉指。端的是、绿衣仙史。试看取，一点檀心，岂是凡桃李。
满江红 题洛隐周宝镫女士坐月浣花图（清·蒲映渌）	彼美人兮，婉相对、珊珊欲下。恰满院、月华如洗，花枝低亚。盼到圆时仍未满，看当开半还愁谢。与花神、月姊细商量，归来罢。怜嫩蕊，银瓶泻。爱清影，晶帘挂。奈晚妆犹怯，镜台初架。二十馀年芳草恨，两三更后长吁夜。几时将，络秀旧心情，呼儿话。
