渔歌子 秋夜（清·徐淑秀）	露滴花寒入夜深。多情明月向愁人。灯隐隐，漏沉沉。断续钟声断续砧。
忆王孙（清·徐淑秀）	重重幽恨锁眉峰。斜倚阑干思未穷。徒使心牵问不通。忆相逢。在梦中。
丑奴儿令 有怀（清·徐淑秀）	自从别后长相忆，慵整新妆。瘦怯春裳。怕见庭前芍药芳。停针不语愁无限，蜂闹纱窗。燕语雕梁。独倚阑干欲断肠。
鹧鸪天 夜坐（清·徐淑秀）	宝篆香消觉夜深。挑灯无语倍伤情。瑶琴欲抚闲消闷，拨尽朱弦总断魂。风索莫，月凄清。无端愁思苦萦心。徘徊不尽梧桐月，守着窗儿坐到明。
