木笔花（清·邱卓然次女）　　七言绝句　押东韵	映日凌云小苑东，都无邪曲出芳丛。年年一样生花笔，堪笑江郎只梦中。
水仙花（清·邱卓然次女）　　七言绝句　押真韵	知是前身洛水神，珊珊玉骨绝纤尘。伶俜照取凌波影，莫道无根托主人。
哭女（清·邱卓然次女）　　七言绝句　押鱼韵	苦忆闺中束发初，朝朝课汝读《关雎》。怀清筑后摩笄折，补读嫏嬛福地书。
