登金山（清·复显）　　七言绝句　押灰韵	一叶乘风破浪开，登山更上妙高台。乱云时复生虚壁，疑有苍龙听法来。
秋夜闻雨（清·复显）　　七言绝句　押庚韵	暗虫绕壁怨残更，镫影幢幢半不明。秋雨自凉人自卧，萧萧一夜打窗声。
夜宿朴树湾（清·复显）　　七言绝句　押庚韵	夜阑天水共澄清，月落参横正五更。愁到枕边眠未得，晓鸡声里听潮生。
