金雀鬟 闺情（清·吉珠）	庭院春深好。牡丹开遍了。不分是双鬟偷拗。
春宵曲 送别（清·吉珠）	鸭绿春波暖，莺黄柳色新。别路醉芳樽。送君南浦去、欲消魂。
劈瑶钗（清·吉珠）	懒画眉。自颦眉。一晌相思一晌悲。昨夜梦郎郎似旧，携手醒来，无计挽郎衣。晓莺啼。
菩萨蛮 寄远（清·吉珠）	南天一雁飞无迹。美人斜背栏杆立。眉黛为君攒。暗将珠泪弹。佳期今是否。又绿楼头柳。待月拨银筝。谁人知我情。
减字木兰花 闰六月初七（清·吉珠）	遥情两两。盼到而今犹怅望。如此良宵。乌鹊南飞不架桥。金风玉露。辜负盈盈河汉女。迢递佳期。恐是仙家好别离。
