晓起（清·孙芳祖）　　七言绝句　押阳韵	嫩凉如水沁吟床，未拟开奁洗晓妆。清露满阶收粉豆，玉簪花畔剂秋香。
偶成（清·孙芳祖）　　七言绝句　押齐韵	春深风絮扑帘衣，才爇银炉篆影低。为写金经刚试手，绿阴一院画眉啼。
仲昭家薇花红出墙外（清·孙芳祖）　　七言绝句　押麻韵	听得诗声隔绛纱，一双燕子巧藏花。玲珑莫搦胭脂雪，但倩仙人鸟爪爬。
莲房（清·孙芳祖）　　押沃韵	人爱榴房红，侬爱莲房绿。翾风作房老，绿珠胜红玉。
