望江南 四时词（清·吴娟）	江南好，柳色绿如烟。处处芳菲都是锦，村村红紫漫争妍。春暖艳阳天。
望江南（清·吴娟）	江南好，十里芰荷风。雪藕冰桃凉彻骨，珠兰茉莉沁酥胸。竹簟睡朦胧。
望江南（清·吴娟）	江南好，丛桂小山多。香气袭人题锦字，清光良夜照银河。乞巧待如何。
望江南（清·吴娟）	江南好，酿雪映梳妆。小阁衣寒煨野栗，重帏被冷爇沉香。兽炭暖牙床。
