木兰秋夜（清·永璂）　　七言绝句　押先韵	云敛长空素月圆，碧天秋色锁寒烟。不知雁响沈何处，古塞疏镫客未眠。
题十一兄渔隐图（清·永璂）　　押啸韵	江湖有散人，雅尚凌仙峤。青笠绿蓑衣，泛宅逐蓬藋。扁舟澹容与，鹭鸥作同调。长物唯缗竿，至足在渔钓。白云从空流，眠月仰天笑。目极宇宙宽，浩荡无遗眺。朱门多纷营，撄缚苦纠绕。而此独逍遥，忘机自舒啸。咄彼抗尘容，翘心束帛召。
德寿寺牡丹短歌（清·永璂）	飞放泊边春不浅，德寿寺里流莺啭。探花笑我马腾腾，待客无僧幡闪闪。百年已是干戈靖，一龛独任光阴转。洛阳姚黄不须问，且对繁英生苍藓。今日看花花莫放，来日看花花莫敛。花应知我非世情，与尔相看动幽感。
