夏夜露坐（清·任丽金）　　五言绝句　押支韵	偶傍疏篱坐，罗襟怯露滋。时将团扇隔，不许月明知。
月夜闻雁（清·任丽金）　　五言绝句　押庚韵	独坐南窗下，初晴月倍明。云中新雁唳，却作故乡声。
记梦（清·任丽金）　　五言绝句　押阳韵	梦绕双亲膝，牵衣话正长。鸡声惊觉后，依旧在他乡。
题家书后（清·任丽金）　　七言绝句	一别双亲半载馀，平安只接数行书。离怀欲向花笺写，写到相思字却无。
