刘宠选钱（清·林鹏霄）　　七言绝句　押虞韵	临歧曲已唱骊驹，太守清廉世所无。笑煞宦途贪墨辈，一钱如命较锱铢。
潜园探梅（清·林鹏霄）　　七言绝句　押萧韵	行尽长桥与短桥，名园览胜值花朝。逋仙去后寒香在，多少春光慰寂寥。
孕妇（清·林鹏霄）　　七言绝句　押肴韵	乾坤混沌一时包，消息传来十月交。试较红罗旧裙带，柳腰合抱是①谁教。
李谪仙醉草清平调（清·林鹏霄）　　七言绝句　押歌韵	谱出清平雅调①和，谪仙醉态喜高歌。名花自古能倾国，不是狂言醉后多。
老妓（清·林鹏霄）　　七言绝句　押尤韵	空馀白发对妆楼，一曲琵琶一曲愁。回首五陵年少客，而今谁与数缠头。
八阵图（清·林鹏霄）　　七言绝句　押江韵	为恨东吴未肯降，图开八阵妙无双。先生不尽安排意，白帝城南石沉江。
