舟中戏题（清·徐倬）　　七言绝句　押支韵	雪后微风卷浪迟，缓摇柔橹怕鸥知。舟中倦客闲凭几，不见舟移见岸移。
泇河道中（清·徐倬）　　押微韵	峄山湖畔峭帆飞，菰蒋菖蒲满钓矶。犍犊群来知近市，野凫浴久觉船稀。摊书客倦乌皮几，听雨凉生白夹衣。此去江淮行不远，黄鱼正美雪鲥肥。
坐段桥（清·徐倬）	寒虫暖出游，我亦负暄至。缓足沿河堤，十步九回憩。黄叶树如妆，秋山云愈媚。游鱼聚空潭，归骑骋逸辔。群类各有依，孤客心何寄。怅焉成独坐，石梁对空翠。
