遥夕（清·徐谦）　　五言绝句	雨霁月弥静，无人共遥夕。乱蛩风露寒，虚堂入秋色。
古松歌（清·徐谦）	我醉梦骑苍虬飞，飞云如盖随翠旂。鳞鬣怒张寒凛肌，绿雪片片沾我衣。乍闻谡谡天风急，俄见茫茫海潮立。白虎瘖口荒谷奔，青兕摄魂深隧泣。松下乍醒错愕久，突兀眼前势犹走。乃悟神物百灵守，孕胚元气天未剖。此老神完人罕知，空山与我同支离。
重过时帆先生诗龛（清·徐谦）	诗龛我三至，相逢始辛未。乍见索诗读，许我玉堂吏。草草功名马耳风，怜才谁与古人同。再到诗龛唁公子，摩诘已去蓝田空。龛中一瓣香，韦柳储孟王。中坐柴桑叟，诗境森清苍。潭上落花流水逝，泉台又洒西河泪。斜日松阴满旧龛，几人门下哭羊昙。
