九里冈（清·萧端澍）　　七言绝句　押歌韵	荆门西上路坡陀，九里冈平松桧多。秋雨乍晴云乍敛，无边浓翠滴烟萝。
即目（清·萧端澍）　　七言绝句　押删韵	野水吞桥争赴壑，晴云夺路乱趋山。雨馀好景凭谁写，画意诗情满目间。
春日听徙南道人弹琴（清·萧端澍）　　押阳韵	丹房昼静春风香，仙人隐几琴眠床。客至呼僮瀹苦茗，兴来为我弹清商。山水虚深道心古，鸥鹭澹远尘机忘。秘弄初开若有会，寸衷感激空低昂。
