秋日山居（清·叶以照）　　五言绝句　押先韵	秋树瘦无比，秋山淡可怜。空亭长寂寂，衰草带寒烟。
山亭新霁（清·叶以照）　　五言绝句　押微韵	林下雨初霁，山亭空翠飞。绿萝长几许，著地扫苔衣。
浴温泉宿紫云庵（清·叶以照）　　七言绝句　押先韵	竹影萧萧纸帐悬，僧寮清绝不成眠。白龙潭下飞流急，一夜泉声到枕边。
