望江南 同嫂氏过绿雪山房感赋（清·高縏）	山房里，往事足追寻。晓阁校书同问字，午窗斗茗罢拈针。一局向花阴。
望江南（清·高縏）	山房里，此日总伤神。门闭秋千空挂月，香埋金粉遍生尘。憔悴昔年人。
二郎神 次答嫂氏寄怀原韵（清·高縏）	一声杜宇，早叫破、绿窗人静。度永日如年，残春如梦。归尽江村雁影，独有离怀难消遣，便说煞、有谁能省。将兔颖蘸酣，云笺书破，怎传幽恨。■凝。何期忽到，天涯芳信。把往事闲吟，离情细数，知我年来瘦损。玉露啼花，海棠困雨，多少泪珠红沁。最苦是、两地思量，间阻不教愁醒。
