谢秋娘 夜坐（清·盛氏（盛进士女））	清夜坐，独与月相亲。听彻梅花人不见，烧残瑞脑漏初沉。何事惹愁深。
天仙子（清·盛氏（盛进士女））	昨夜琼筵频劝酒。强起罗帏薰翠袖。晓窗斜日照梳头。花影瘦，人影瘦，瘦得腰儿难似旧。满树绯桃沾碧甃。几个黄鹂啼绿柳。一春芳信颇匆匆。卿莫负，侬莫负，好把双箫花下奏。
凤凰台上忆吹箫 闺怨集药名（清·盛氏（盛进士女））	菱鉴空青，蟾酥半缺，绮疏深掩葳蕤。喜朱砂印臂，青黛匀眉。慵续断肠诗句。检旧奁、败扇频题。相思甚、抛残梳篦，蹙损诃梨。遥想云母帐前，珍珠帘畔，琥珀床西。剩牡丹雨浸，豆蔻香披。怕踏落红花径，琼阶滑、石齿痕欹。铅泪滴、春愁五倍，嘱咐辛夷。
