偶成（清·宋凌云）　　五言绝句　押麻韵	天外鱼书绝，征人岂念家。可怜小儿女，夜夜看灯花。
忆父二首（清·宋凌云）　　七言绝句　押鱼韵	吴树燕云断尺书，迢迢两地恨何如？梦魂不惮长安远，几度乘风问起居。
采桑子  见《昭代词选》、《词综补》（清·宋凌云）	从来不识悲秋意，爱月登楼。爱月登楼。玉笛横吹天际浮。而今识尽悲秋意，独倚香篝。独倚香篝。两点春山只驻愁。
