南歌子  见《众香词》（明末清初·王毓贞）	浴罢明肌雪，妆残亸鬓鸦。娇怯欲扶花。花枝扶不得、倚风斜。
如梦令（明末清初·王毓贞）	月影被花摇碎。掩映隔帘红袂。倚醉殢春娇，狼藉满头珠翠。难记。难记。人在画屏秋水。
生查子（明末清初·王毓贞）	兰沐绮窗凉，红汗酥胸溅。倦倚玉栏杆，蜂咂娇花颤。红沁被池香，翠滑眉心现。挥麈扑青蝇，佯拂檀郎面。
生查（拟艳）子（明末清初·王毓贞）	鸂鶒翠钿飞，翡翠榴裙嵌。含笑入罗帏，人影灯光蘸。昵枕听晨鸡，点点铜壶勘。亏得种芭蕉，日闪红窗暗。
