思亲（清·方寿）　　七言绝句　押先韵	秋窗点滴两连绵，也似思亲泪未乾。一夜蕉梧声断续，教人辗转不成眠。
海棠花（清·方寿）　　七言绝句　押东韵	含烟泫露小楼东，脉脉无言媚晚风。好似沈香亭畔醉，阑干十二倚娇红。
雪霁（清·方寿）　　七言绝句　押青韵	快雪初晴月乍明，碧天无际透疏棂。香生薝卜心如水，閒展《黄庭》一卷经。
寄三弟妇杨恭人都中（清·方寿）　　押寒韵	米贵长安居大难，相思愁见月团团。贫无锥地眉常展，旦戒仙郎漏正阑。井臼操持钦德曜，文章声价属都官。谁知粉署含香侣，依旧盐荠十载寒。
