荷叶杯（清·赵家璧）	帘外一轮明月。凄切。空自照秦楼。玉箫吹断碧云秋。愁么愁。愁么愁。
小秦王 赠邻姬（清·赵家璧）	水剪双眸衣剪云。莺声小语可人闻。见郎故尔生娇态，笑骂东风起绣裙。
落灯风 夏闺（清·赵家璧）	夜静天炎冰簟卧。残妆理罢迎风坐。消受有荷香，更两两、流萤飞过，一点红灯火。贪凉反惹心无那。空看着月来云破。叹事事倥偬，惟拥着、书儿千部，花屿吟残我。
凤凰台上忆吹箫（清·赵家璧）	秋叶离离，秋风析析，秋来最是销魂。见秋梧摇落，秋菊堆金。夜看秋天似水，秋窗外、秋月如银。秋庭下、秋霜满地，秋雁悲鸣。秋清。秋蛩切切，听秋声一派，秋思难禁。奈秋怀耿耿，秋赋慵吟。秋兴怀人极目，秋风冷、秋色萦心。秋漏静、秋闺寂寞，秋恨时生。
