寄大兄（清·冯畹）　　七言绝句　押鱼韵	离怀渺渺一缄书，寄向春风且任渠。何限洮河东去水，此中无处著双鱼。
春日离咏寄夫子（清·冯畹）　　七言绝句　押阳韵	宵柝声声夜未央，博山红烬玉烟凉。麝煤兰篆休重炷，不是君来便不芳。
关山月（清·冯畹）	关山月，关山月，山月高高漏未歇。城头一夜戍角鸣，大帅平明大纛行，寒沙万里晓光白，斥堠千山烽火青。昨从都尉下三山，复逐轻车出汉关。三边积雪埋头白，五夜胡风彻甲寒。月色营前凝望久，重窥记自葱岭首。多情不舍出塞骑，犹为离人照刁斗。关山月，愿分一半清皎光，为照闺中望月常如此。塞上征人行未已，醒时惆怅月照席，梦里空迷塞烟紫。
