望江南 别情（清·吴森札）	人去也，晚霁送行舟。欲倩远山留落日，待登高阁怯新秋。满目是离愁。
菩萨蛮 晚沐，和韵（清·吴森札）	晚风乍起新凉入。捲帘慵向妆台立。日影下西厢。小池菡萏香。解囊轻贴地。兰沐香萦臂。莫便弃残膏。还将润玉搔。
菩萨蛮 愿在发而为泽（清·吴森札）	罗帏梦觉孤衾冷。绿云斜拥珊瑚枕。强起翠鬟偏。梅花点额前。堆鸦香泽溜。双燕钗头斗。影破海棠枝。蜂窥蝶又知。
凤凰台上忆吹箫 闺情，代作（清·吴森札）	风淡烟浓，困人天气，被池香暖贪眠。恼晓莺啼破，春梦阑珊。强起悄登妆阁，无限恨、都上眉尖。漫赢得，镜中人，对着意相怜。恹恹。愁成病也，任云鬓蓬松，懒整花钿。把凤钗轻掷，日日虚占。无奈青鸾信杳，凭栏望、泪眼几穿。春郊外，马嘶芳草，常认归鞭。
绮罗香 愿在衣而为领（清·吴森札）	一幅鲛绡，几回忖量，拈却绣刀裁剪。稳贴双肩，记把芙蓉扣掩。缀珠翠、顾影沉吟，临镜面、瘦痕羞敛。漫寻春、蝶眷蜂怜，芳心犹恐旧香浅。绣罢重封奁箧，怕新来宽褪，琼酥销减。倦压鸳衾，兰麝休教再染。愁春去、怨雨啼云，惜花残、香柔红软。解罗衫、闲叠熏笼，甚心情更展。
