赋得隋宫燕（清·杨琅树）　　七言绝句　押真韵	空梁故垒渐成尘，宛转犹寻旧日春。几度自来还自去，宫中不见卷帘人。
越王城（清·杨琅树）　　押纸韵	寂寂越王城，日落荒云起。城中贮暮寒，人立秋声里。衰草封颓基，残烟连断垝。石门汉时出，珠江越国水。山水而有灵，亦忆越王否？
孤雁（清·杨琅树）　　押微韵	孤雁悲明月，凄声惊我帏。恰如逃亡民，哀哀无所归。开窗语孤雁，前途慎知机。莫因山谷冷，转从城市飞。健儿聚无事，挟弹有余威。
王明君（清·杨琅树）	明妃嫁单子，非关画图误。自是汉孱弱，无人阵黄雾。君王重黎民，岂惜一佳人。琵琶方出塞，已罢玉关军。虎臣飞将乃如此，万里长城在女子。汉宫寂寞是谁羞，毡帐风光非妾喜。薄命自羞还自歌，寄语君王慎干戈。后宫莫选颜色女，单于无厌当奈何。
