鸡叫子 春烟（清·李淑媛）	带雾连云轻冉冉。朦胧浮翠深还浅。若非淡扫柳梢头，定教浓抹桃花面。
醉桃源 碧潭旧业（清·李淑媛）	秋千深处是谁家。红楼垂柳遮。一帘香雨锁秋花。虚堂闻落钗。凝望处，驻香车。愁思绕窗纱。写他闲恨入琵琶。惊飞鹳影斜。
秦娥点绛唇（清·李淑媛）	春渐老。轻扬翠幕兰风好。兰风好。纱窗窈窕。柳浪啼莺晓。屏山寂寞炉烟袅。露华颗颗凝芳草。凝芳草。海棠睡觉。依旧迎人笑。
