马沧湖感旧（清·甘树椿）　　七言绝句　押支韵	白鹤楼前水满陂，沿堤杨柳碧如丝。中流笳鼓都销歇，祇有荷花似旧时。
江村晚眺（清·甘树椿）　　七言绝句　押阳韵	遥天一色郁青苍，数点寒鸦趁夕阳。流水无声莽萧瑟，满林黄叶落秋霜。
书怡亭铭拓本后（清·甘树椿）	观音岩畔波初起，银涛直泻天万里。怡亭寂寞山月高，空馀断碣沈江底。大书深刻永泰年，铭者裴虬笔如椽。李莒八分阳冰篆，卿云采绚星珠联。吁嗟乎！世事白衣幻苍狗，陇西词客今何有。武昌江上片石存，遂使姓名长不朽。君不见，嘉祐七年上泉书，苔纹剥蠹沦瓦缶。
