桃花坞（清·潘曾绶）　　七言绝句　押真韵	金榜才华第一人，卜居占得武陵春。怜君已被风流误，莫向桃源更问津。
沧浪亭（清·潘曾绶）　　七言绝句　押先韵	寄迹沧浪亦偶然，苏公名与此亭传。清风明月原无价，破费当初四万钱。
题顾丈南雅通政手椟后（清·潘曾绶）　　七言绝句　押真韵	淋漓满幅墨如新，冰雪文章笔有神。报国忧时数行泪，世间何处著斯人。
神木歌（清·潘曾绶）	天外波涛地上起，蜀山之精老不死。午日仙人市上眠，光气亘虹烛天紫。错疑骏骨埋土中，化成巨胫如防风。谁识燕京修筑日，丁搬甲运劳神功。古来材大难为用，五百年来同一梦。狂花不肯惊世人，故山子规啼一春。井络星精长照树，有时四面生云雾，风雨声中忽飞去。
十月六日儿子祖荫试周（清·潘曾绶）	古人重试周，将以观所取。今日陈晬盘，珍玩列左右。一手笔如椽，一手印如斗。高堂笑颜开，谓可昌厥后。庭前罗众宾，门外贺羊酒。争看石麒麟，光气满户牖。我细号能文，落笔颇不苟。侍父来京师，谬誉溢人口。屈指今再试，依旧青毡守。立身何艰难，世业惭自负。置儿膝上嬉，持杯慰吾妇。吾儿眉眼清，聪明渠自有。吾儿头角高，定可卜寿考。传家有赐书，责之三不朽。
