子夜四时歌（清·商景徽）　　五言绝句　押御韵	蜡烛照空帷，春宵难达曙。袷衣不著绵，预识中无絮。
读毛西河濑中集作（清·商景徽）　　七言绝句　押尤韵	芙蓉露下小池秋，金鸭烟消宿雨收。为读西河新句好，都梁艾蒳满妆楼。
吊张曼殊（清·商景徽）　　七言绝句　押阳韵	觅得温柔在帝乡，娇花容易萎严霜。丰台自此游人绝，芍药将开尽断肠。
邯郸才人嫁为厮养卒妇（清·商景徽）	妾自承恩初，同心绾双结。灿烂若明霞，流霞不能涅。晨眺漳河流，夜卧丛台月。岂知中道乖，蛾眉坐沦没。春风伴赭衣，秋霞改玄发。镜台宝髻疏，罗裳暗香歇。愿作巫山云，朝朝反宫阙。
美女篇（清·商景徽）　　押药韵	美女东城隅，红颜华灼灼。垂垂十二鬟，一一飞金雀。初日照楼台，春游出宛洛。采桑攀远杨，搴芳捋丛薄。行路何踟蹰，中心谅有托。不知谁家子，白马黄金络。强言立道傍，翩然互酬酢。本非淇上姝，宁践桑中约。家无薄幸儿，白头负前诺。赠妾双明珠，还君抵飞鹊。日暮行归来，空闺守寂寞。
子夜四时歌 其三（清·商景徽）　　押梗韵	栖鸟夜不眠，肃肃翻金井。五更霜月昏，不见双桐影。
月中行 题陈素素像（清·商景徽）	轻盈燕子掌中身。对景舞还停。见君佳句更相亲。笔底动人情。三春杨柳腰间细，二分明月鬓边横。芙蓉初放碧池新。知是画图人。
菩萨蛮（清·商景徽）	篆烟吹过花深处。■■叶底垂甘露。何处见如来。青莲笔下开。朝朝研墨碗。不画春山远。但写妙莲华，香风遍若耶。
